CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,2024_FCLTY_NM,2024_DATA_CO,2023_DATA_CO,2024_TOT_PROGRM_CO,2023_TOT_PROGRM_CO,2024_VIEWNG_PRICE,2023_VIEWNG_PRICE,2024_ARTGR_EMP_CO,2023_ARTGR_EMP_CO,2024_BULD_AR_VALUE,2023_BULD_AR_VALUE,2024_DSPY_AR_CN,2023_DSPY_AR_CN,FLAG_NM,2024_food_count_by_dong,2024_VIEWNG_NMPR_CO,2023_VIEWNG_NMPR_CO,viewer_decline,DATA_CO_GROWTH_RATE,VIEWNG_PRICE_GROWTH_RATE,TOT_PROGRM_CO_GROWTH_RATE,ARTGR_EMP_CO_GROWTH_RATE,DSPY_AR_CN_GROWTH_RATE
서울,서초구,서초3동,한가람디자인미술관,10613,343.3636363636364,0.0,0.0,7465,8155.8441558441555,2,2.0,11853.0,11853.0,1394.0,1394.0,사립,958,289504,141814,0,29.90892242520519,-0.08470541401273882,0.0,0.0,0.0
서울,서초구,서초3동,한가람미술관,10613,343.3636363636364,0.0,0.0,7465,8155.8441558441555,3,3.0,15743.0,15743.0,3805.0,3805.0,사립,958,465589,477456,1,29.90892242520519,-0.08470541401273882,0.0,0.0,0.0
서울,성동구,성수2가3동,헬로우뮤지움,3011,329.125,28.0,145.0,7465,8155.8441558441555,6,6.0,493.0,493.0,234.0,156.0,사립,646,9381,3736,0,8.148499810102544,-0.08470541401273882,-0.8068965517241379,0.0,0.5
서울,종로구,부암동,환기미술관,2000,408.73333333333335,25.0,30.0,7465,8155.8441558441555,6,2.172661870503597,1840.0,1840.0,1197.0,1197.0,사립,112,89422,84871,0,3.8931658783232748,-0.08470541401273882,-0.16666666666666666,1.7615894039735103,0.0
서울,노원구,공릉2동,서울과학기술대학교 미술관,3011,329.125,1.0,1.0,0,0.0,2,2.172661870503597,140.0,140.0,104.0,104.0,대학,368,4000,3000,0,8.148499810102544,0.0,0.0,-0.07947019867549661,0.0
서울,관악구,대학동,서울대학교미술관,2588,408.73333333333335,10.0,8.0,0,0.0,2,2.172661870503597,1363.0,1363.0,1112.0,1204.0,대학,393,36694,23617,0,5.331756646550318,0.0,0.25,-0.07947019867549661,-0.07641196013289037
서울,용산구,청파동,숙명여자대학교문신미술관,4535,426.1218181818182,0.0,0.0,0,0.0,1,1.0,888.0,888.0,506.0,506.0,대학,396,7760,3240,0,9.642496597217184,0.0,0.0,0.0,0.0
부산,해운대구,우2동,부산광역시립미술관,17416,343.3636363636364,16.0,0.0,2750,6738.888888888889,2,2.172661870503597,22826.0,22826.0,7565.0,7565.0,공립,383,576437,576437,0,49.721736828170506,-0.5919208573784006,0.0,-0.07947019867549661,0.0
부산,사하구,하단2동,부산현대미술관,21269,343.3636363636364,12.0,10.0,2750,6738.888888888889,2,2.172661870503597,15312.0,15311.81,5910.7,5910.7,공립,692,278258,256375,0,60.94307651575324,-0.5919208573784006,0.2,-0.07947019867549661,0.0
부산,금정구,장전2동,디오티미술관,3011,329.125,9.0,12.0,7465,3000.0,1,6.0,305.0,305.0,138.0,138.0,사립,679,8560,5819,0,8.148499810102544,1.4883333333333333,-0.25,-0.8333333333333334,0.0
부산,해운대구,우2동,고은사진미술관,5347,408.73333333333335,7.0,7.0,7465,8155.8441558441555,6,6.0,1728.0,1728.0,332.0,332.0,사립,383,10381,15530,1,12.081878975697276,-0.08470541401273882,0.0,0.0,0.0
부산,금정구,금성동,킴스아트필드미술관,400,400.0,4.0,4.0,7465,8155.8441558441555,3,3.0,1019.0,1019.0,962.0,962.0,사립,94,656,656,0,0.0,-0.08470541401273882,0.0,0.0,0.0
부산,부산진구,부전2동,KT&G 상상마당 부산미술관,4535,426.1218181818182,4.0,6.0,15000,15000.0,4,4.0,858.0,858.0,824.0,616.0,사립,1225,141138,84452,0,9.642496597217184,0.0,-0.3333333333333333,0.0,0.33766233766233766
부산,남구,대연3동,경성대학교미술관,2588,408.73333333333335,0.0,0.0,0,0.0,1,1.0,2239.0,2239.0,1306.0,1306.0,대학,802,5200,5200,0,5.331756646550318,0.0,0.0,0.0,0.0
부산,서구,부민동,동아대학교 석당미술관,2588,426.1218181818182,0.0,0.0,0,0.0,2,3.0,1089.0,1089.0,555.0,555.0,대학,145,3410,5014,1,5.073380638059112,0.0,0.0,-0.3333333333333333,0.0
대구,달서구,성당동,대구문화예술회관 미술관,6910,343.3636363636364,0.0,0.0,2750,6738.888888888889,2,2.172661870503597,13636.0,13636.0,3930.0,3930.0,공립,322,222798,124995,0,19.12443738416733,-0.5919208573784006,0.0,-0.07947019867549661,0.0
