FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
콩세유미술관,경기,파주시,광탄면,104,4.0,5000,3,485.0,271.0,사립,1260
포마자동차디자인미술관,경기,고양시,화전동,2,6.0,10000,2,1483.0,626.0,사립,480
한강뮤지엄,경기,남양주시,와부읍,50,2.0,10000,3,937.4,786.0,사립,25800
한국미술관,경기,용인시,마북동,2000,2.0,3000,3,743.0,539.0,사립,1397
한향림도자미술관,경기,파주시,탄현면,278,7.0,5000,1,1187.0,796.0,사립,9172
해움미술관,경기,수원시,매교동,3011,3.0,7465,1,307.0,293.0,사립,2500
현대어린이책미술관 MOKA,경기,성남시,백현동,6000,60.0,7465,14,2736.0,620.0,사립,104898
현대어린이책미술관 MOKA GARDEN,경기,남양주시,다산1동,2000,12.0,7465,3,668.0,84.0,사립,285246
K&L 뮤지엄,경기,과천시,과천동,350,13.0,7465,2,354.0,284.0,사립,3700
DIMA 아트센터,경기,안성시,삼죽면,2588,1.0,0,1,1927.19,191.957,대학,2978
KUMA 계원예술대학교 미술관,경기,의왕시,내손1동,3011,0.0,0,1,479.0,479.0,대학,7500
갤러리 우촌(미술관),경기,성남시,고등동,10613,2.0,7000,1,3171.0,495.0,대학,83475
강릉시립미술관,강원,강릉시,교1동,4535,17.0,2750,2,917.0,506.0,공립,44758
공립인제내설악미술관,강원,인제군,북면,360,0.0,2750,2,804.0,419.0,공립,6200
양구군립 박수근미술관,강원,양구군,양구읍,750,11.0,2750,2,4096.0,2840.0,공립,39636
춘천미술관,강원,춘천시,소양동,3011,7.0,2750,2,372.0,256.0,공립,12000
KT&G 상상마당 춘천 아트갤러리,강원,춘천시,강남동,1668,11.0,7465,3,3873.0,178.0,사립,54441
내설악백공미술관,강원,인제군,북면,4535,0.0,7465,2,854.0,650.0,사립,300
뮤지엄 산(청조갤러리),강원,원주시,지정면,3524,24.0,22000,22,11602.0,685.77,사립,367010
바우지움조각미술관,강원,고성군,토성면,4535,5.0,13000,1,914.0,404.0,사립,30000
석봉도자기미술관,강원,속초시,교동,1105,25.0,5000,1,2107.0,1313.0,사립,5238
오랜미래신화미술관,강원,원주시,문막읍,3011,0.0,5000,1,351.0,153.0,사립,500
월산미술관,강원,동해시,삼화동,2588,0.0,7465,2,1453.6,341.4,사립,3000
이상원미술관,강원,춘천시,사북면,500,20.0,6000,2,4877.0,900.0,사립,26500
장길환미술관,강원,강릉시,송정동,1364,1.0,10000,2,2265.0,625.747,사립,9800
정선507미술관,강원,정선군,정선읍,4535,6.0,7465,2,562.0,562.0,사립,3000
쾌연재도자미술관,강원,영월군,한반도면,300,1.0,5000,2,399.0,138.0,사립,187
피움미술관,강원,고성군,죽왕면,10613,10.0,7465,2,2840.0,1600.0,사립,5000
하슬라미술관,강원,강릉시,강동면,300,11.0,15000,2,284.38,177.0,사립,310000
관아갤러리,충북,충주시,성내.충인동,4535,0.0,2750,2,730.3,200.0,공립,7800
진천군립 생거판화미술관,충북,진천군,진천읍,2588,6.0,2750,2,1538.0,357.0,공립,17104
청주시립미술관,충북,청주시,사직2동,3592,10.0,1000,2,4910.0,1641.0,공립,24744
